Código Capítulo;Capítulo Descripción;Exportaciones;Mes;NUM;Año
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1566974.204;Abril;4;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1142421.622;Mayo;5;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";909104.6448;Junio;6;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";971180.1494;Julio;7;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";938812.9755;Agosto;8;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";720123.9245;Septiembre;9;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1054319.717;Octubre;10;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";986862.3112;Noviembre;11;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";432609.7445;Diciembre;12;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";786251.9043;Enero;1;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1114184.5;Febrero;2;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";817789.3773;Marzo;3;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";720510.321;Abril;4;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";598518.7131;Mayo;5;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";513628.0719;Junio;6;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";644279.6337;Julio;7;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";988127.648;Agosto;8;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";3237953.557;Septiembre;9;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";736627.5848;Octubre;10;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1186513.638;Noviembre;11;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";797630.6682;Diciembre;12;2018
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1265012.324;Enero;1;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1583562.714;Febrero;2;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";5345659.333;Marzo;3;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";947971.4072;Abril;4;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1452979.084;Mayo;5;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";994997.3896;Junio;6;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";916836.6312;Julio;7;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";561072.0318;Agosto;8;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";748421.2199;Septiembre;9;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";801227.7601;Octubre;10;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";896568.9904;Noviembre;11;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";786501.6233;Diciembre;12;2019
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";736863.241;Enero;1;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";473269.0704;Febrero;2;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";674711.0548;Marzo;3;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";442556.6884;Abril;4;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";499161.2796;Mayo;5;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";575800.3376;Junio;6;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";570787.0729;Julio;7;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";433562.1216;Agosto;8;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";373255.8458;Septiembre;9;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";506205.3671;Octubre;10;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";391123.0535;Noviembre;11;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";902977.0876;Diciembre;12;2020
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";501007.0329;Enero;1;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";795688.3827;Febrero;2;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";556094.0667;Marzo;3;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";609512.3124;Abril;4;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";484631.6928;Mayo;5;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";613359.4582;Junio;6;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";675780.4952;Julio;7;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";427812.2633;Agosto;8;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";489093.6941;Septiembre;9;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";434677.3411;Octubre;10;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";365870.0464;Noviembre;11;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";516395.563;Diciembre;12;2021
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";240051.8898;Enero;1;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";340934.2934;Febrero;2;2022
